BTAG,FLETAG,FLESUBTAG,FEATURES,TOKENS,,DESCRIPTON
FW-AT+NN,FW,,,,l'orchestre l'identite l'arcade l'ange l'assistance l'activite L'Universite l'independance L'Union L'Unita l'osservatore,"foreign word: article + noun, singular, common"
FW-AT+NP,FW,,,,L'Astree L'Imperiale,"foreign word: article + noun, singular, proper"
FW-BE,FW,,,,sit,"foreign word: verb ""to be"", infinitive or imperative"
FW-BER,FW,,,,sind sunt etes,"foreign word: verb ""to be"", present tense, 2nd person singular or all persons plural"
FW-BEZ,FW,,,,ist est,"foreign word: verb ""to be"", present tense, 3rd person singular"
FW-CC,FW,,,,et ma mais und aber och nec y,"foreign word: conjunction, coordinating"
FW-CD,FW,,,,une cinq deux sieben unam zwei,"foreign word: numeral, cardinal"
FW-CS,FW,,,,bevor quam ma,"foreign word: conjunction, subordinating"
FW-DT,FW,,,,hoc,"foreign word: determiner/pronoun, singular"
FW-DT+BEZ,FW,,,,c'est,"foreign word: determiner + verb ""to be"", present tense, 3rd person singular"
FW-DTS,FW,,,,haec,"foreign word: determiner/pronoun, plural"
FW-HV,FW,,,,habe,"foreign word: verb ""to have"", present tense, not 3rd person singular"
FW-IN,FW,,,,ad de en a par con dans ex von auf super post sine sur sub avec per inter sans pour pendant in di,foreign word: preposition
FW-IN+AT,FW,,,,della des du aux zur d'un del dell',foreign word: preposition + article
FW-IN+NN,FW,,,,d'etat d'hotel d'argent d'identite d'art,"foreign word: preposition + noun, singular, common"
FW-IN+NP,FW,,,,d'Yquem d'Eiffel,"foreign word: preposition + noun, singular, proper"
FW-JJ,FW,,,,avant Espagnol sinfonica Siciliana Philharmonique grand publique haute noire bouffe Douce meme humaine bel serieuses royaux anticus presto Sovietskaya Bayerische comique schwarzen ...,foreign word: adjective
FW-JJR,FW,,,,fortiori,"foreign word: adjective, comparative"
FW-JJT,FW,,,,optimo,"foreign word: adjective, superlative"
FW-NN,FW,,,,ballet esprit ersatz mano chatte goutte sang Fledermaus oud def kolkhoz roi troika canto boite blutwurst carne muzyka bonheur monde piece force ...,"foreign word: noun, singular, common"
FW-NN$,FW,,,,corporis intellectus arte's dei aeternitatis senioritatis curiae patronne's chambre's,"foreign word: noun, singular, common, genitive"
FW-NNS,FW,,,,al culpas vopos boites haflis kolkhozes augen tyrannis alpha-beta-gammas metis banditos rata phis negociants crus Einsatzkommandos kamikaze wohaws sabinas zorrillas palazzi engages coureurs corroborees yori Ubermenschen ...,"foreign word: noun, plural, common"
FW-NP,FW,,,,Karshilama Dieu Rundfunk Afrique Espanol Afrika Spagna Gott Carthago deus,"foreign word: noun, singular, proper"
FW-NPS,FW,,,,Svenskarna Atlantes Dieux,"foreign word: noun, plural, proper"
FW-NR,FW,,,,heute morgen aujourd'hui hoy,"foreign word: noun, singular, adverbial"
FW-OD,FW,,,,18e 17e quintus,"foreign word: numeral, ordinal"
FW-PN,FW,,,,hoc,"foreign word: pronoun, nominal"
FW-PP$,FW,,,,mea mon deras vos,"foreign word: determiner, possessive"
FW-PPL,FW,,,,se,"foreign word: pronoun, singular, reflexive"
FW-PPL+VBZ,FW,,,,s'excuse s'accuse,"foreign word: pronoun, singular, reflexive + verb, present tense, 3rd person singular"
FW-PPO,FW,,,,lui me moi mi,"pronoun, personal, accusative"
FW-PPO+IN,FW,,,,mecum tecum,"foreign word: pronoun, personal, accusative + preposition"
FW-PPS,FW,,,,il,"foreign word: pronoun, personal, nominative, 3rd person singular"
FW-PPSS,FW,,,,ich vous sie je,"foreign word: pronoun, personal, nominative, not 3rd person singular"
FW-PPSS+HV,FW,,,,j'ai,"foreign word: pronoun, personal, nominative, not 3rd person singular + verb ""to have"", present tense, not 3rd person singular"
FW-QL,FW,,,,minus,foreign word: qualifier
